study,plate,keywords,keyword_type,value_type,threshold,direction,threshold_type
idr1,all,,,pc,10,top,%
idr2,all,,,live,15,top,%
idr3,all,,,pc,20,top,%
idr5,all,,,pc,20,top,%
idr6,all,,,live,10,top,%
idr7,all,,,live,20,top,%
idr8,all,,,pc,20,top,%
idr9,all,,,live,10,top,%
idr10,all,,,pc,20,top,%
idr11,all,,,pc,15,top,%
idr12,all,,,live,20,top,%
idr13,all,,,live,20,top,%
idr17,all,,,live,20,top,%
idr20,all,,,live,5,top,%
idr22,all,,,pc,10,top,%
idr25,all,,,live,10,top,%
idr28,all,,,live,15,top,%
idr30,all,,,live,15,top,%
idr33,all,,,live,15,top,%
idr35,all,,,live,15,top,%
idr37,all,,,pc,5,top,%
idr56,all,,,pc,15,top,%
idr69,all,,,pc,20,top,%
idr72,all,,,live,10,top,%
idr80,all,,,live,10,top,%
idr81,all,,,live,15, top,%
idr86,all,,,live,15,top,%
idr88,all,,,pc,20,top,%
idr89,all,,,live,10,top,%
idr93,all,,,live,10,top,%
idr94,all,,,live,10,top,%
idr115,all,,,live,100,top,%
idr120,all,,,pc,3,top,%
idr123,all,,,live,10,top,%
idr128,all,,,live,10,top,%
idr129,all,,,live,10,top,%
idr130,all,,,live,10,top,%
idr133,all,,,live,10,top,%
idr140,all,,,pc,8,top,%
idr145,all,,,pc,8,top,%
nidr1,all,,,pc,20,top,%
nidr2,all,,,pc,15,top,%
nidr3,all,,,pc,12,top,%
nidr4,all,,,pc,20,top,%
nidr5,all,,,pc,15,top,%
nidr6,all,,,pc,10,top,%
nidr7,all,,,live,5,bottom,%
nidr8,all,,,pc,5,top,%
nidr9,all,,,live,10,top,%
nidr9,all,nucleus,replace,live,10,top,abs
nidr10,all,,,pc,20,top,%
nidr11,all,,,live,20,top,%
nidr12,all,,,live,10,top,%
nidr13,all,,,live,15,top,%
nidr14,all,,,pc,10,top,%
nidr15,all,,,pc,15,top,%
nidr16,all,,,pc,1,top,%
nidr17,all,,,pc,15,top,%
nidr18,1A,"d+$",regex,live,10,bottom,%
nidr18,1A,,,live,100,top,%
nidr18,2A,,,pc,100,top,%
nidr19,all,,,live,20,bottom,%
nidr20,all,,,pc,15,top,%
nidr21,all,,,live,100,top,%
nidr22,all,,,live,10,bottom,%
nidr23,all,,,live,15,top,%
nidr24,all,,,live,100,top,%
nidr25,all,,,live,10,top,%
nidr26,all,,,live,100,top,%
nidr27,all,,,live,10,bottom,%
nidr28,all,,,pc,20,top,%
nidr29,all,,,live,15,top,%
nidr30,all,,,live,20,top,%
nidr31,all,,,pc,20,top,%
nidr32,all,,,pc,20,top,%
